역번호,날짜,호선,역명,구분,축제명,개최장소,축제시작일자,축제종료일자,합 계
216,2019-03-18,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,85926
216,2019-03-18,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,83582
216,2019-03-19,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,86811
216,2019-03-19,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,84237
216,2019-03-20,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,83831
216,2019-03-20,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,80693
216,2019-03-21,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,87056
216,2019-03-21,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,84470
216,2019-03-22,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,96615
216,2019-03-22,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,93459
216,2019-03-23,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,90053
216,2019-03-23,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,85068
216,2019-03-24,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,65877
216,2019-03-24,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,59431
216,2019-03-25,2호선,잠실(송파구청),승차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,83463
216,2019-03-25,2호선,잠실(송파구청),하차,석촌호수벚꽃축제,석촌호수 일대,2019-04-05,2019-04-12,81232
